"id","part_number","description","material","dimensions","category_raw","category_master","cost","currency","vendor_name","updated_at","source_file","source_system","price_per_unom","raw_json","vault_engineer_name","vault_vault_file_name","vault_revision_no","invoice_description_raw","sap_revision_no","sap_cad_file","po_vendor_name","sap_category","vault_checkout_status","po_description_raw","invoice_due_date","powerbi_abc_class","sap_drawing_no","powerbi_category","sap_engineer_name","invoice_vendor_name","invoice_unit_price","po_delivery_date","vault_material","sap_spec_material","sap_storage_location","invoice_qty_supplied","sap_currency","powerbi_criticality_index","category","sap_approval_status","vault_cad_type","vault_notes","sap_spec_weight","sap_created_date","sap_spec_grade","powerbi_description","powerbi_powerbi_flag","invoice_remarks","po_currency","po_po_no","sap_spec_tolerance","sap_active_flag","sap_sub_category","sap_price_per_uom","powerbi_avg_lead_time_days","sap_commodity_code","powerbi_risk_rating","vault_lifecycle_state","po_order_date","sap_vendor_code","sap_order_uom","sap_material_type","sap_plant","sap_spec_dimensions","powerbi_material","powerbi_sub_category","po_remarks","invoice_invoice_no","sap_valuation_type","sap_is_standard_part","sap_material_group","sap_spec_finish","invoice_invoice_date","vault_file_size_mb","sap_description_clean","po_qty_ordered","vault_category","vault_dimensions","sap_stock_qty","po_price_per_unit","sap_purchase_uom","vault_created_date","sap_material_code","vault_sub_category","invoice_currency","vault_last_modified","powerbi_utilization_score","powerbi_analysis_comment","sap_description_raw","sap_vendor_name","vault_drawing_no","powerbi_movement_frequency","user_dimensions","user_material","user_description","user_category","user_source_system","is_standard_part","revision_no","material_group","spec_dimensions","checkout_status","price_per_uom","utilization_score","spec_grade","movement_frequency","spec_tolerance","description_raw","risk_rating","all_sources","powerbi_flag","stock_qty","material_2","vendor_code","storage_location","sub_category","notes","description_clean","commodity_code","engineer_name","active_flag","drawing_no","lifecycle_state","cad_file","part_number_2","purchase_uom","analysis_comment","ocr_text","file_size_mb","criticality_index","avg_lead_time_days","order_uom","cad_type","plant","last_modified","valuation_type","abc_class","spec_finish","spec_weight","approval_status","spec_material","page","created_date","vault_file_name","sources","powerbi_material_2","sap_part_number_2","vault_material_2"
31,"P0031","SS304 U Bracket 22x91 mm","FERT","22x91","Bracket","Bracket",NULL,"USD","ABC Industries","2025-12-08 02:09:37.655699","powerbi_mock_aligned.xlsx","powerbi",NULL,NULL,"John","P0031.ipt","D","NaN","D","part_0031.step","NaN","Bracket","Checked In","NaN","NaN","C","DRW0031","Bracket","Meena","NaN","NaN","NaN","SS304","SS304","SL3","NaN","USD",NULL,"Bracket","Pending","IPT",NULL,"6.26","08-01-2021","SS316","SS304 U Bracket 22x91 mm","Medium","NaN","NaN","NaN","±0.11 mm","YES","U Bracket","3416.68","58.0","66819180.0","A","Obsolete","NaN","V250","BOX","FERT","3000.0","22x91 mm","SS304","U Bracket","NaN","NaN","Standard","NO","Bracket","Zinc Plated","NaN","18.69","SS304 U Bracket 22x91 mm","NaN","Bracket","22x91 mm","1520.0","NaN","MTR","08-01-2021","M0031","U Bracket","NaN","02-09-2024","0.49","Consider alternate sourcing","SS304 U Bracket 22x91 mm","ABC Industries","DRW0031","23.0",NULL,NULL,NULL,NULL,NULL,"NO","D","Bracket","22x91 mm","Checked In","3416.68","0.49","SS316","23.0","±0.11 mm","SS304 U Bracket 22x91 mm","A","[{""source_system"": ""vault"", ""source_file"": ""vault_mock_aligned.xlsx""}, {""source_system"": ""powerbi"", ""source_file"": ""powerbi_mock_aligned.xlsx""}]","Medium","1520.0","SS304","V250","SL3","U Bracket",NULL,"SS304 U Bracket 22x91 mm","66819180.0","John","YES","DRW0031","Obsolete","part_0031.step","M0031","MTR","Consider alternate sourcing",NULL,"18.69",NULL,"58.0","BOX","IPT","3000.0","02-09-2024","Standard","C","Zinc Plated","6.26","Pending","SS304","NaN","08-01-2021","P0031.ipt","[{""source"": ""sap"", ""file"": ""sap_master_mock.xlsx"", ""desc"": NaN}, {""source"": ""vault"", ""file"": ""vault_mock_aligned.xlsx"", ""desc"": NaN}, {""source"": ""powerbi"", ""file"": ""powerbi_mock_aligned.xlsx"", ""desc"": ""SS304 U Bracket 22x91 mm""}]","SS304","M0031","SS304"
32,"P0032","Brass Pressure Sensor 42x45 mm","ROH","42x45","Sensor","Sensor",NULL,"INR","Global Metals","2025-12-08 02:09:37.655699","powerbi_mock_aligned.xlsx","powerbi",NULL,NULL,"Priya","P0032.ipt","A","NaN","A","part_0032.step","NaN","Sensor","Checked In","NaN","NaN","B","DRW0032","Sensor","Priya","NaN","NaN","NaN","Brass","Brass","SL43","NaN","INR",NULL,"Sensor","Pending","IPT","Check interference","1.83","11-08-2024","EN8","Brass Pressure Sensor 42x45 mm","Low","NaN","NaN","NaN","±0.64 mm","YES","Pressure Sensor","3828.49",NULL,"84453944.0","A","In Work","NaN","V688","EA","ROH","1000.0","42x45 mm","Brass","Pressure Sensor","NaN","NaN","Standard","YES","Sensor","Anodized","NaN","10.46","Brass Pressure Sensor 42x45 mm","NaN","Sensor","42x45 mm","182.0","NaN","KG","11-08-2024","M0032","Pressure Sensor","NaN","15-12-2022",NULL,NULL,"Brass Pressure Sensor 42x45 mm","Global Metals","DRW0032",NULL,NULL,NULL,NULL,NULL,NULL,"YES","A","Sensor","42x45 mm","Checked In","3828.49",NULL,"EN8",NULL,"±0.64 mm","Brass Pressure Sensor 42x45 mm","A","[{""source_system"": ""vault"", ""source_file"": ""vault_mock_aligned.xlsx""}, {""source_system"": ""powerbi"", ""source_file"": ""powerbi_mock_aligned.xlsx""}]","Low","182.0","Brass","V688","SL43","Pressure Sensor","Check interference","Brass Pressure Sensor 42x45 mm","84453944.0","Priya","YES","DRW0032","In Work","part_0032.step","M0032","KG",NULL,NULL,"10.46",NULL,NULL,"EA","IPT","1000.0","15-12-2022","Standard","B","Anodized","1.83","Pending","Brass","NaN","11-08-2024","P0032.ipt","[{""source"": ""sap"", ""file"": ""sap_master_mock.xlsx"", ""desc"": NaN}, {""source"": ""vault"", ""file"": ""vault_mock_aligned.xlsx"", ""desc"": NaN}, {""source"": ""powerbi"", ""file"": ""powerbi_mock_aligned.xlsx"", ""desc"": ""Brass Pressure Sensor 42x45 mm""}]","Brass","M0032","Brass"
33,"P0033","Aluminum Ball Bearing 39x195 mm","HALB","39x195","Bearing","Bearing",NULL,"EUR","MechSolutions","2025-12-08 02:09:37.655699","powerbi_mock_aligned.xlsx","powerbi",NULL,NULL,"Kumar","P0033.ipt","A","NaN","A","part_0033.step","NaN","Bearing","Checked Out","NaN","NaN","A","DRW0033","Bearing","Priya","NaN","NaN","NaN","Aluminum","Aluminum","SL37","NaN","EUR",NULL,"Bearing","Approved","DWG","Check interference","4.36","02-10-2020","EN8","Aluminum Ball Bearing 39x195 mm","High","NaN","NaN","NaN","±0.93 mm","NO","Ball Bearing","3075.49","21.0","89522823.0","C","Under Review","NaN","V891","EA","HALB","3000.0","39x195 mm","Aluminum","Ball Bearing","NaN","NaN","Batch","YES","Bearing","Anodized","NaN","21.59","Aluminum Ball Bearing 39x195 mm","NaN","Bearing","39x195 mm","1289.0","NaN","MTR","02-10-2020","M0033","Ball Bearing","NaN","27-08-2022","0.23","Consider alternate sourcing","Aluminum Ball Bearing 39x195 mm","MechSolutions","DRW0033",NULL,NULL,NULL,NULL,NULL,NULL,"YES","A","Bearing","39x195 mm","Checked Out","3075.49","0.23","EN8",NULL,"±0.93 mm","Aluminum Ball Bearing 39x195 mm","C","[{""source_system"": ""vault"", ""source_file"": ""vault_mock_aligned.xlsx""}, {""source_system"": ""powerbi"", ""source_file"": ""powerbi_mock_aligned.xlsx""}]","High","1289.0","Aluminum","V891","SL37","Ball Bearing","Check interference","Aluminum Ball Bearing 39x195 mm","89522823.0","Kumar","NO","DRW0033","Under Review","part_0033.step","M0033","MTR","Consider alternate sourcing",NULL,"21.59",NULL,"21.0","EA","DWG","3000.0","27-08-2022","Batch","A","Anodized","4.36","Approved","Aluminum","NaN","02-10-2020","P0033.ipt","[{""source"": ""sap"", ""file"": ""sap_master_mock.xlsx"", ""desc"": NaN}, {""source"": ""vault"", ""file"": ""vault_mock_aligned.xlsx"", ""desc"": NaN}, {""source"": ""powerbi"", ""file"": ""powerbi_mock_aligned.xlsx"", ""desc"": ""Aluminum Ball Bearing 39x195 mm""}]","Aluminum","M0033","Aluminum"
34,"P0034","Cast Iron Valve 44x109 mm","FERT","44x109","Hydraulic","Hydraulic",NULL,"INR","Global Metals","2025-12-08 02:09:37.655699","powerbi_mock_aligned.xlsx","powerbi",NULL,NULL,"Suresh","P0034.ipt","D","NaN","D","part_0034.step","NaN","Hydraulic","Checked Out","NaN","NaN","A","DRW0034","Hydraulic","Priya","NaN","NaN","NaN","Cast Iron","Cast Iron","SL44","NaN","INR","3.0","Hydraulic","Approved","IPT","Verify with drawing","11.13","01-04-2024","A4","Cast Iron Valve 44x109 mm","High","NaN","NaN","NaN","±0.72 mm","NO","Valve","2000.31",NULL,"26268534.0","A","In Work","NaN","V212","BOX","FERT","1000.0","44x109 mm","Cast Iron","Valve","NaN","NaN","Standard","NO","Hydraulic","Polished","NaN","6.81","Cast Iron Valve 44x109 mm","NaN","Hydraulic","44x109 mm","1785.0","NaN","KG","01-04-2024","M0034","Valve","NaN","28-08-2024",NULL,"Check vendor lead time","Cast Iron Valve 44x109 mm","Global Metals","DRW0034",NULL,NULL,NULL,NULL,NULL,NULL,"NO","D","Hydraulic","44x109 mm","Checked Out","2000.31",NULL,"A4",NULL,"±0.72 mm","Cast Iron Valve 44x109 mm","A","[{""source_system"": ""vault"", ""source_file"": ""vault_mock_aligned.xlsx""}, {""source_system"": ""powerbi"", ""source_file"": ""powerbi_mock_aligned.xlsx""}]","High","1785.0","Cast Iron","V212","SL44","Valve","Verify with drawing","Cast Iron Valve 44x109 mm","26268534.0","Suresh","NO","DRW0034","In Work","part_0034.step","M0034","KG","Check vendor lead time",NULL,"6.81","3.0",NULL,"BOX","IPT","1000.0","28-08-2024","Standard","A","Polished","11.13","Approved","Cast Iron","NaN","01-04-2024","P0034.ipt","[{""source"": ""sap"", ""file"": ""sap_master_mock.xlsx"", ""desc"": NaN}, {""source"": ""vault"", ""file"": ""vault_mock_aligned.xlsx"", ""desc"": NaN}, {""source"": ""powerbi"", ""file"": ""powerbi_mock_aligned.xlsx"", ""desc"": ""Cast Iron Valve 44x109 mm""}]","Cast Iron","M0034","Cast Iron"
35,"P0035","Nylon Roller Bearing 25x142 mm","ROH","25x142","Bearing","Bearing",NULL,"EUR","MechSolutions","2025-12-08 02:09:37.655699","powerbi_mock_aligned.xlsx","powerbi",NULL,NULL,"Suresh","P0035.ipt","B","NaN","B","part_0035.step","NaN","Bearing","Checked Out","NaN","NaN","C","DRW0035","Bearing","Suresh","NaN","NaN","NaN","Nylon","Nylon","SL7","NaN","EUR","5.0","Bearing","Pending","DWG","Update model","3.73","08-05-2021","A4","Nylon Roller Bearing 25x142 mm","High","NaN","NaN","NaN","±0.12 mm","NO","Roller Bearing","320.71","84.0","39892461.0","B","Under Review","NaN","V971","BOX","ROH","3000.0","25x142 mm","Nylon","Roller Bearing","NaN","NaN","Batch","NO","Bearing","Zinc Plated","NaN","19.61","Nylon Roller Bearing 25x142 mm","NaN","Bearing","25x142 mm","202.0","NaN","EA","08-05-2021","M0035","Roller Bearing","NaN","19-08-2024","0.56","High stock movement","Nylon Roller Bearing 25x142 mm","MechSolutions","DRW0035",NULL,NULL,NULL,NULL,NULL,NULL,"NO","B","Bearing","25x142 mm","Checked Out","320.71","0.56","A4",NULL,"±0.12 mm","Nylon Roller Bearing 25x142 mm","B","[{""source_system"": ""vault"", ""source_file"": ""vault_mock_aligned.xlsx""}, {""source_system"": ""powerbi"", ""source_file"": ""powerbi_mock_aligned.xlsx""}]","High","202.0","Nylon","V971","SL7","Roller Bearing","Update model","Nylon Roller Bearing 25x142 mm","39892461.0","Suresh","NO","DRW0035","Under Review","part_0035.step","M0035","EA","High stock movement",NULL,"19.61","5.0","84.0","BOX","DWG","3000.0","19-08-2024","Batch","C","Zinc Plated","3.73","Pending","Nylon","NaN","08-05-2021","P0035.ipt","[{""source"": ""sap"", ""file"": ""sap_master_mock.xlsx"", ""desc"": NaN}, {""source"": ""vault"", ""file"": ""vault_mock_aligned.xlsx"", ""desc"": NaN}, {""source"": ""powerbi"", ""file"": ""powerbi_mock_aligned.xlsx"", ""desc"": ""Nylon Roller Bearing 25x142 mm""}]","Nylon","M0035","Nylon"
36,"P0036","SS316 Screw 25x159 mm","ROH","25x159","Fastener","Fastener",NULL,"EUR","Tech Supplies","2025-12-08 02:09:37.655699","powerbi_mock_aligned.xlsx","powerbi",NULL,NULL,"Kumar","P0036.ipt","D","NaN","D","part_0036.step","NaN","Fastener","Checked In","NaN","NaN","C","DRW0036","Fastener","Kumar","NaN","NaN","NaN","SS316","SS316","SL30","NaN","EUR",NULL,"Fastener","Under Review","STEP","Update model","13.48","18-09-2022","A4","SS316 Screw 25x159 mm","High","NaN","NaN","NaN","±0.31 mm","YES","Screw","3375.77",NULL,"60767305.0","C","Under Review","NaN","V111","EA","ROH","3000.0","25x159 mm","SS316","Screw","NaN","NaN","Standard","YES","Fastener",NULL,"NaN","0.52","SS316 Screw 25x159 mm","NaN","Fastener","25x159 mm","1457.0","NaN","EA","18-09-2022","M0036","Screw","NaN","26-01-2021","0.94","Check vendor lead time","SS316 Screw 25x159 mm","Tech Supplies","DRW0036","24.0",NULL,NULL,NULL,NULL,NULL,"YES","D","Fastener","25x159 mm","Checked In","3375.77","0.94","A4","24.0","±0.31 mm","SS316 Screw 25x159 mm","C","[{""source_system"": ""vault"", ""source_file"": ""vault_mock_aligned.xlsx""}, {""source_system"": ""powerbi"", ""source_file"": ""powerbi_mock_aligned.xlsx""}]","High","1457.0","SS316","V111","SL30","Screw","Update model","SS316 Screw 25x159 mm","60767305.0","Kumar","YES","DRW0036","Under Review","part_0036.step","M0036","EA","Check vendor lead time",NULL,"0.52",NULL,NULL,"EA","STEP","3000.0","26-01-2021","Standard","C",NULL,"13.48","Under Review","SS316","NaN","18-09-2022","P0036.ipt","[{""source"": ""sap"", ""file"": ""sap_master_mock.xlsx"", ""desc"": NaN}, {""source"": ""vault"", ""file"": ""vault_mock_aligned.xlsx"", ""desc"": NaN}, {""source"": ""powerbi"", ""file"": ""powerbi_mock_aligned.xlsx"", ""desc"": ""SS316 Screw 25x159 mm""}]","SS316","M0036","SS316"
37,"P0037","Steel U Bracket 29x13 mm","HALB","29x13","Bracket","Bracket",NULL,"EUR","MechSolutions","2025-12-08 02:09:37.655699","powerbi_mock_aligned.xlsx","powerbi",NULL,NULL,"Priya","P0037.ipt","B","NaN","B","part_0037.step","NaN","Bracket","Checked Out","NaN","NaN","B","DRW0037","Bracket","Priya","NaN","NaN","NaN","Steel","Steel","SL16","NaN","EUR",NULL,"Bracket","Pending","DWG","Update model","4.69","16-03-2020","A2","Steel U Bracket 29x13 mm","Low","NaN","NaN","NaN","±0.20 mm","YES","U Bracket","1367.45",NULL,"40550060.0","B","Under Review","NaN","V744","KG","HALB","1000.0","29x13 mm","Steel","U Bracket","NaN","NaN","Standard","NO","Bracket",NULL,"NaN","5.86","Steel U Bracket 29x13 mm","NaN","Bracket","29x13 mm","1539.0","NaN","EA","16-03-2020","M0037","U Bracket","NaN","10-11-2024",NULL,"High stock movement","Steel U Bracket 29x13 mm","MechSolutions","DRW0037",NULL,NULL,NULL,NULL,NULL,NULL,"NO","B","Bracket","29x13 mm","Checked Out","1367.45",NULL,"A2",NULL,"±0.20 mm","Steel U Bracket 29x13 mm","B","[{""source_system"": ""vault"", ""source_file"": ""vault_mock_aligned.xlsx""}, {""source_system"": ""powerbi"", ""source_file"": ""powerbi_mock_aligned.xlsx""}]","Low","1539.0","Steel","V744","SL16","U Bracket","Update model","Steel U Bracket 29x13 mm","40550060.0","Priya","YES","DRW0037","Under Review","part_0037.step","M0037","EA","High stock movement",NULL,"5.86",NULL,NULL,"KG","DWG","1000.0","10-11-2024","Standard","B",NULL,"4.69","Pending","Steel","NaN","16-03-2020","P0037.ipt","[{""source"": ""sap"", ""file"": ""sap_master_mock.xlsx"", ""desc"": NaN}, {""source"": ""vault"", ""file"": ""vault_mock_aligned.xlsx"", ""desc"": NaN}, {""source"": ""powerbi"", ""file"": ""powerbi_mock_aligned.xlsx"", ""desc"": ""Steel U Bracket 29x13 mm""}]","Steel","M0037","Steel"
38,"P0038","Aluminum Stepper Motor 16x41 mm","ROH","16x41","Motor","Motor",NULL,"USD","Tech Supplies","2025-12-08 02:09:37.655699","powerbi_mock_aligned.xlsx","powerbi",NULL,NULL,"Kumar","P0038.ipt","D","NaN","D","part_0038.step","NaN","Motor","Checked In","NaN","NaN","C","DRW0038","Motor","Kumar","NaN","NaN","NaN","Aluminum","Aluminum","SL21","NaN","USD","4.0","Motor","Under Review","DWG","Update model","14.07","08-01-2023","SS304","Aluminum Stepper Motor 16x41 mm","Medium","NaN","NaN","NaN","±0.10 mm","NO","Stepper Motor","4153.4",NULL,"64451585.0","C","In Work","NaN","V470","BOX","ROH","2000.0","16x41 mm","Aluminum","Stepper Motor","NaN","NaN","Batch","NO","Motor",NULL,"NaN","3.61","Aluminum Stepper Motor 16x41 mm","NaN","Motor","16x41 mm","248.0","NaN","EA","08-01-2023","M0038","Stepper Motor","NaN","25-12-2024",NULL,"Consider alternate sourcing","Aluminum Stepper Motor 16x41 mm","Tech Supplies","DRW0038",NULL,NULL,NULL,NULL,NULL,NULL,"NO","D","Motor","16x41 mm","Checked In","4153.4",NULL,"SS304",NULL,"±0.10 mm","Aluminum Stepper Motor 16x41 mm","C","[{""source_system"": ""vault"", ""source_file"": ""vault_mock_aligned.xlsx""}, {""source_system"": ""powerbi"", ""source_file"": ""powerbi_mock_aligned.xlsx""}]","Medium","248.0","Aluminum","V470","SL21","Stepper Motor","Update model","Aluminum Stepper Motor 16x41 mm","64451585.0","Kumar","NO","DRW0038","In Work","part_0038.step","M0038","EA","Consider alternate sourcing",NULL,"3.61","4.0",NULL,"BOX","DWG","2000.0","25-12-2024","Batch","C",NULL,"14.07","Under Review","Aluminum","NaN","08-01-2023","P0038.ipt","[{""source"": ""sap"", ""file"": ""sap_master_mock.xlsx"", ""desc"": NaN}, {""source"": ""vault"", ""file"": ""vault_mock_aligned.xlsx"", ""desc"": NaN}, {""source"": ""powerbi"", ""file"": ""powerbi_mock_aligned.xlsx"", ""desc"": ""Aluminum Stepper Motor 16x41 mm""}]","Aluminum","M0038","Aluminum"
39,"P0039","Cast Iron Tee 41x81 mm","HALB","41x81","Pipe Fitting","Pipe Fitting",NULL,"USD","ElectroWorks","2025-12-08 02:09:37.655699","powerbi_mock_aligned.xlsx","powerbi",NULL,NULL,"Meena","P0039.ipt","D","NaN","D","part_0039.step","NaN","Pipe Fitting","Checked Out","NaN","NaN","B","DRW0039","Pipe Fitting","Priya","NaN","NaN","NaN","Cast Iron","Cast Iron","SL16","NaN","USD",NULL,"Pipe Fitting","Pending","IPT","Verify with drawing","10.31","10-02-2020","SS304","Cast Iron Tee 41x81 mm","High","NaN","NaN","NaN","±0.99 mm","NO","Tee","3314.23","21.0","63810613.0","C","In Work","NaN","V245","EA","HALB","2000.0","41x81 mm","Cast Iron","Tee","NaN","NaN","Standard","NO","Pipe Fitting","Polished","NaN","2.66","Cast Iron Tee 41x81 mm","NaN","Pipe Fitting","41x81 mm","1301.0","NaN","EA","10-02-2020","M0039","Tee","NaN","19-05-2022","0.64","Part used frequently","Cast Iron Tee 41x81 mm","ElectroWorks","DRW0039","9.0",NULL,NULL,NULL,NULL,NULL,"NO","D","Pipe Fitting","41x81 mm","Checked Out","3314.23","0.64","SS304","9.0","±0.99 mm","Cast Iron Tee 41x81 mm","C","[{""source_system"": ""vault"", ""source_file"": ""vault_mock_aligned.xlsx""}, {""source_system"": ""powerbi"", ""source_file"": ""powerbi_mock_aligned.xlsx""}]","High","1301.0","Cast Iron","V245","SL16","Tee","Verify with drawing","Cast Iron Tee 41x81 mm","63810613.0","Meena","NO","DRW0039","In Work","part_0039.step","M0039","EA","Part used frequently",NULL,"2.66",NULL,"21.0","EA","IPT","2000.0","19-05-2022","Standard","B","Polished","10.31","Pending","Cast Iron","NaN","10-02-2020","P0039.ipt","[{""source"": ""sap"", ""file"": ""sap_master_mock.xlsx"", ""desc"": NaN}, {""source"": ""vault"", ""file"": ""vault_mock_aligned.xlsx"", ""desc"": NaN}, {""source"": ""powerbi"", ""file"": ""powerbi_mock_aligned.xlsx"", ""desc"": ""Cast Iron Tee 41x81 mm""}]","Cast Iron","M0039","Cast Iron"
40,"P0040","Aluminum Ball Bearing 39x176 mm","FERT","39x176","Bearing","Bearing",NULL,"INR","Tech Supplies","2025-12-08 02:09:37.655699","powerbi_mock_aligned.xlsx","powerbi",NULL,NULL,"Meena","P0040.ipt","B","NaN","B","part_0040.step","NaN","Bearing","Checked In","NaN","NaN","B","DRW0040","Bearing","John","NaN","NaN","NaN","Aluminum","Aluminum","SL4","NaN","INR",NULL,"Bearing","Pending","DWG","Update model","7.1","19-06-2023","A2","Aluminum Ball Bearing 39x176 mm","Medium","NaN","NaN","NaN","±0.68 mm","YES","Ball Bearing","1922.17",NULL,"33607499.0","B","In Work","NaN","V301","BOX","FERT","1000.0","39x176 mm","Aluminum","Ball Bearing","NaN","NaN","Standard","YES","Bearing","Zinc Plated","NaN","12.95","Aluminum Ball Bearing 39x176 mm","NaN","Bearing","39x176 mm","53.0","NaN","EA","19-06-2023","M0040","Ball Bearing","NaN","19-06-2023","0.97","Check vendor lead time","Aluminum Ball Bearing 39x176 mm","Tech Supplies","DRW0040",NULL,NULL,NULL,NULL,NULL,NULL,"YES","B","Bearing","39x176 mm","Checked In","1922.17","0.97","A2",NULL,"±0.68 mm","Aluminum Ball Bearing 39x176 mm","B","[{""source_system"": ""vault"", ""source_file"": ""vault_mock_aligned.xlsx""}, {""source_system"": ""powerbi"", ""source_file"": ""powerbi_mock_aligned.xlsx""}]","Medium","53.0","Aluminum","V301","SL4","Ball Bearing","Update model","Aluminum Ball Bearing 39x176 mm","33607499.0","Meena","YES","DRW0040","In Work","part_0040.step","M0040","EA","Check vendor lead time",NULL,"12.95",NULL,NULL,"BOX","DWG","1000.0","19-06-2023","Standard","B","Zinc Plated","7.1","Pending","Aluminum","NaN","19-06-2023","P0040.ipt","[{""source"": ""sap"", ""file"": ""sap_master_mock.xlsx"", ""desc"": NaN}, {""source"": ""vault"", ""file"": ""vault_mock_aligned.xlsx"", ""desc"": NaN}, {""source"": ""powerbi"", ""file"": ""powerbi_mock_aligned.xlsx"", ""desc"": ""Aluminum Ball Bearing 39x176 mm""}]","Aluminum","M0040","Aluminum"
41,"P0041","SS316 Coupler 21x13 mm","ROH","21x13","Hydraulic","Hydraulic",NULL,"EUR","ABC Industries","2025-12-08 02:09:37.655699","powerbi_mock_aligned.xlsx","powerbi",NULL,NULL,"John","P0041.ipt","B","NaN","B","part_0041.step","NaN","Hydraulic","Checked In","NaN","NaN","C","DRW0041","Hydraulic","John","NaN","NaN","NaN","SS316","SS316","SL26","NaN","EUR","3.0","Hydraulic","Pending","DWG",NULL,"9.54","16-05-2021","SS304","SS316 Coupler 21x13 mm","Low","NaN","NaN","NaN","±0.43 mm","YES","Coupler","3193.37",NULL,"78952508.0","B","Obsolete","NaN","V309","KG","ROH","1000.0","21x13 mm","SS316","Coupler","NaN","NaN","Standard","YES","Hydraulic","Zinc Plated","NaN","6.23","SS316 Coupler 21x13 mm","NaN","Hydraulic","21x13 mm","1465.0","NaN","KG","16-05-2021","M0041","Coupler","NaN","16-07-2021",NULL,"Part used frequently","SS316 Coupler 21x13 mm","ABC Industries","DRW0041",NULL,NULL,NULL,NULL,NULL,NULL,"YES","B","Hydraulic","21x13 mm","Checked In","3193.37",NULL,"SS304",NULL,"±0.43 mm","SS316 Coupler 21x13 mm","B","[{""source_system"": ""vault"", ""source_file"": ""vault_mock_aligned.xlsx""}, {""source_system"": ""powerbi"", ""source_file"": ""powerbi_mock_aligned.xlsx""}]","Low","1465.0","SS316","V309","SL26","Coupler",NULL,"SS316 Coupler 21x13 mm","78952508.0","John","YES","DRW0041","Obsolete","part_0041.step","M0041","KG","Part used frequently",NULL,"6.23","3.0",NULL,"KG","DWG","1000.0","16-07-2021","Standard","C","Zinc Plated","9.54","Pending","SS316","NaN","16-05-2021","P0041.ipt","[{""source"": ""sap"", ""file"": ""sap_master_mock.xlsx"", ""desc"": NaN}, {""source"": ""vault"", ""file"": ""vault_mock_aligned.xlsx"", ""desc"": NaN}, {""source"": ""powerbi"", ""file"": ""powerbi_mock_aligned.xlsx"", ""desc"": ""SS316 Coupler 21x13 mm""}]","SS316","M0041","SS316"
42,"P0042","SS316 Ball Bearing 5x30 mm","HALB","5x30","Bearing","Bearing",NULL,"USD","MechSolutions","2025-12-08 02:09:37.655699","powerbi_mock_aligned.xlsx","powerbi",NULL,NULL,"Suresh","P0042.ipt","A","NaN","A","part_0042.step","NaN","Bearing","Checked Out","NaN","NaN","B","DRW0042","Bearing","John","NaN","NaN","NaN","SS316","SS316","SL39","NaN","USD","2.0","Bearing","Pending","STEP",NULL,"3.96","27-07-2020","SS316","SS316 Ball Bearing 5x30 mm","Low","NaN","NaN","NaN","±0.60 mm","YES","Ball Bearing","1270.13",NULL,"88083997.0","C","Released","NaN","V655","KG","HALB","3000.0","5x30 mm","SS316","Ball Bearing","NaN","NaN","Standard","NO","Bearing",NULL,"NaN","10.99","SS316 Ball Bearing 5x30 mm","NaN","Bearing","5x30 mm","1479.0","NaN","EA","27-07-2020","M0042","Ball Bearing","NaN","11-10-2021","0.39","Part used frequently","SS316 Ball Bearing 5x30 mm","MechSolutions","DRW0042","5.0",NULL,NULL,NULL,NULL,NULL,"NO","A","Bearing","5x30 mm","Checked Out","1270.13","0.39","SS316","5.0","±0.60 mm","SS316 Ball Bearing 5x30 mm","C","[{""source_system"": ""vault"", ""source_file"": ""vault_mock_aligned.xlsx""}, {""source_system"": ""powerbi"", ""source_file"": ""powerbi_mock_aligned.xlsx""}]","Low","1479.0","SS316","V655","SL39","Ball Bearing",NULL,"SS316 Ball Bearing 5x30 mm","88083997.0","Suresh","YES","DRW0042","Released","part_0042.step","M0042","EA","Part used frequently",NULL,"10.99","2.0",NULL,"KG","STEP","3000.0","11-10-2021","Standard","B",NULL,"3.96","Pending","SS316","NaN","27-07-2020","P0042.ipt","[{""source"": ""sap"", ""file"": ""sap_master_mock.xlsx"", ""desc"": NaN}, {""source"": ""vault"", ""file"": ""vault_mock_aligned.xlsx"", ""desc"": NaN}, {""source"": ""powerbi"", ""file"": ""powerbi_mock_aligned.xlsx"", ""desc"": ""SS316 Ball Bearing 5x30 mm""}]","SS316","M0042","SS316"
